Cell.Potential (V)	Cell.Current (A)
2.027415	0
2.035232	0
2.042668	0
2.049521	0
2.055985	0
2.062271	0
2.068394	0
2.07417	0
2.079751	0
2.085122	0
2.085575	1.584247E-005
2.084385	0.000007831
2.083526	6.050657E-006
2.082521	1.406214E-005
2.081614	6.940822E-006
2.080407	1.495231E-005
2.079427	1.406214E-005
2.078423	9.611317E-006
2.077677	6.050657E-006
2.076333	9.611317E-006
2.075401	3.380162E-006
2.074389	5.160492E-006
2.073538	0.000018513
2.072704	1.139165E-005
2.07144	1.050148E-005
2.070517	7.096665E-007
2.069488	1.406214E-005
2.06854	6.050657E-006
2.06739	1.050148E-005
2.066499	0.000007831
2.065721	1.050148E-005
2.064612	0.000007831
2.063259	6.050657E-006
2.062514	1.139165E-005
2.061453	9.611317E-006
2.060667	1.050148E-005
2.059274	0.000007831
2.058358	1.940313E-005
2.057475	1.673264E-005
2.056649	1.673264E-005
2.055774	1.76228E-005
2.054454	0.000018513
2.053328	6.940822E-006
2.052534	1.584247E-005
2.05191	1.228181E-005
2.050379	1.228181E-005
2.049399	1.228181E-005
2.048508	9.611317E-006
2.04756	-1.804985E-007
2.046386	6.940822E-006
2.045446	1.495231E-005
2.044563	1.139165E-005
2.043608	1.495231E-005
2.042376	4.270327E-006
2.041493	1.599832E-006
2.040635	1.228181E-005
2.039719	6.940822E-006
2.038294	6.940822E-006
2.037467	1.228181E-005
2.036641	6.050657E-006
2.035507	1.406214E-005
2.034632	6.940822E-006
2.033434	1.495231E-005
2.032615	0.000007831
2.0314	1.406214E-005
2.030526	1.050148E-005
2.0294	1.406214E-005
2.028557	6.940822E-006
2.027431	0.00000249
2.026581	1.050148E-005
2.02543	1.599832E-006
2.024491	0.000013172
2.023616	9.611317E-006
2.022579	0.000007831
2.021526	1.228181E-005
2.020465	1.050148E-005
2.019558	9.611317E-006
2.018731	1.139165E-005
2.017662	4.270327E-006
2.016512	9.611317E-006
2.015491	8.721152E-006
2.014535	6.940822E-006
2.013661	1.228181E-005
2.012535	1.050148E-005
2.011336	0.00000249
2.010485	1.406214E-005
2.009732	6.940822E-006
2.008428	1.050148E-005
2.007585	8.721152E-006
2.006524	1.228181E-005
2.005641	1.139165E-005
2.004321	7.096665E-007
2.003519	7.096665E-007
2.002515	6.050657E-006
2.001486	6.050657E-006
2.000692	0.000007831
1.999461	4.270327E-006
1.998513	5.160492E-006
1.997403	6.050657E-006
1.996472	4.270327E-006
1.99533	1.050148E-005
1.994471	0.000007831
1.993467	0.000007831
1.992486	1.050148E-005
1.991271	1.76228E-005
1.990413	8.721152E-006
1.989489	1.495231E-005
1.988355	5.160492E-006
1.987318	1.139165E-005
1.986427	0.000018513
1.985358	9.611317E-006
1.984556	1.139165E-005
1.98356	-1.804985E-007
1.982345	9.611317E-006
1.981656	0.000018513
1.98049	1.584247E-005
1.979583	0.000013172
1.978368	1.406214E-005
1.977728	1.673264E-005
1.976326	4.270327E-006
1.975557	1.139165E-005
1.974366	4.270327E-006
1.973248	1.673264E-005
1.972527	1.495231E-005
1.971523	1.050148E-005
1.970235	1.050148E-005
1.969287	6.050657E-006
1.968388	9.611317E-006
1.96744	1.050148E-005
1.966241	1.139165E-005
1.965358	1.139165E-005
1.964297	4.270327E-006
1.963568	4.270327E-006
1.962483	1.050148E-005
1.961316	1.228181E-005
1.960328	-1.804985E-007
1.959445	6.940822E-006
1.958619	-1.070664E-006
1.957274	1.406214E-005
1.956327	9.611317E-006
1.955508	8.721152E-006
1.954545	1.050148E-005
1.953232	1.139165E-005
1.952212	3.380162E-006
1.951353	4.270327E-006
1.950567	2.118346E-005
1.949296	1.495231E-005
1.948332	7.096665E-007
1.947497	-1.960829E-006
1.946582	8.721152E-006
1.945691	1.050148E-005
1.944281	1.050148E-005
1.943374	1.76228E-005
1.942354	1.673264E-005
1.941535	8.721152E-006
1.940239	3.380162E-006
1.939583	1.673264E-005
1.938619	0.000018513
1.937688	1.050148E-005
1.9364	1.406214E-005
1.935347	5.160492E-006
1.934431	1.406214E-005
1.933467	4.270327E-006
1.932269	9.611317E-006
1.931353	1.495231E-005
1.930406	1.139165E-005
1.929563	6.940822E-006
1.928559	1.584247E-005
1.927425	5.160492E-006
1.926266	8.721152E-006
1.925545	1.139165E-005
1.924509	9.611317E-006
1.92335	0.000007831
1.922467	0.000013172
1.921471	8.721152E-006
1.920556	6.940822E-006
1.919349	6.940822E-006
1.918433	1.673264E-005
1.917526	1.050148E-005
1.916376	0.00000249
1.915355	1.139165E-005
1.914513	4.270327E-006
1.913533	1.139165E-005
1.912682	1.495231E-005
1.911321	3.380162E-006
1.910479	0.000013172
1.909644	1.050148E-005
1.908608	1.495231E-005
1.907652	6.050657E-006
1.906485	0.000013172
1.905457	1.673264E-005
1.904525	9.611317E-006
1.90365	6.050657E-006
1.902516	5.160492E-006
1.901479	0.000013172
1.900596	6.940822E-006
1.899746	1.228181E-005
1.898328	4.270327E-006
1.897397	1.228181E-005
1.89649	1.228181E-005
1.895712	6.940822E-006
1.894359	8.721152E-006
1.893371	5.160492E-006
1.892674	9.611317E-006
1.891654	0.000007831
1.890592	3.380162E-006
1.889442	1.599832E-006
1.888405	9.611317E-006
1.887612	8.721152E-006
1.88664	8.721152E-006
1.885457	1.673264E-005
1.884623	7.096665E-007
1.883699	2.02933E-005
1.882719	6.050657E-006
1.88152	8.721152E-006
1.880524	0.00000249
1.879455	1.495231E-005
1.87879	1.406214E-005
1.87747	-1.804985E-007
1.876522	9.611317E-006
1.875631	-1.070664E-006
1.874805	1.050148E-005
1.87376	1.495231E-005
1.872423	6.050657E-006
1.871427	5.160492E-006
1.870568	1.406214E-005
1.869783	1.228181E-005
1.868357	3.380162E-006
1.867385	0.000007831
1.86664	8.721152E-006
1.865611	1.228181E-005
1.864372	-7.301819E-006
1.863489	1.050148E-005
1.862525	8.721152E-006
1.861577	1.139165E-005
1.860346	1.050148E-005
1.859431	1.228181E-005
1.858612	0.000013172
1.857584	-0.000002851
1.856701	1.599832E-006
1.855567	1.050148E-005
1.854489	1.599832E-006
1.853639	-6.411654E-006
1.852578	7.096665E-007
1.851265	7.096665E-007
1.850528	8.721152E-006
1.849645	1.673264E-005
1.848754	1.050148E-005
1.847167	6.050657E-006
1.846511	4.270327E-006
1.84549	1.599832E-006
1.844485	4.270327E-006
1.843198	4.270327E-006
1.842574	1.599832E-006
1.84144	0.00000249
1.840614	5.160492E-006
1.839504	1.139165E-005
1.838516	4.270327E-006
1.837398	4.270327E-006
1.836709	1.599832E-006
1.835713	8.721152E-006
1.834384	1.599832E-006
1.833485	1.599832E-006
1.832643	1.495231E-005
1.831452	4.270327E-006
1.830367	1.584247E-005
1.829467	3.380162E-006
1.828463	1.050148E-005
1.827596	6.940822E-006
1.826349	-0.000002851
1.825458	8.721152E-006
1.824551	5.160492E-006
1.823506	7.096666E-007
1.82242	3.380162E-006
1.821335	0.00000249
1.820509	7.096665E-007
1.819528	0.00000249
1.818532	6.050657E-006
1.81752	0.00000249
1.81658	1.050148E-005
1.815559	1.050148E-005
1.814676	6.050657E-006
1.813453	-1.960829E-006
1.812514	4.270327E-006
1.811639	1.139165E-005
1.810488	1.050148E-005
1.809168	3.380162E-006
1.80848	0.000007831
1.807491	6.050657E-006
1.806552	9.611317E-006
1.805248	6.050657E-006
1.804227	3.380162E-006
1.803595	0.000007831
1.802534	9.611317E-006
1.801586	1.228181E-005
1.800355	1.76228E-005
1.799577	-1.070664E-006
1.798589	1.406214E-005
1.797593	5.160492E-006
1.796475	-1.070664E-006
1.795495	7.096666E-007
1.794612	4.270327E-006
1.793664	0.00000249
1.792433	5.160492E-006
1.791461	8.721152E-006
